"","Authors","Title","Year","Source","Publisher","QueryDate","Type","DOI","ISSN","Volume","Abstract","generic_drug_name","database"
"1038","C. Witiw","Acute Spinal Cord Injury",2015,"Journal of Spinal Disorders and Techniques",NA,"2021-01-16 13:10:56","Review","10.1097/BSD.0000000000000287","1536-0652",28,NA,"corticosteroids","scopus"
"1039","T. Ducker","Spinal cord injury: Role of steroid therapy",1994,"Spine",NA,"2021-01-16 13:10:56","Article","10.1097/00007632-199410150-00006","0362-2436",19,NA,"corticosteroids","scopus"
"1040","M.B. Bracken","Neurological and functional status 1 year after acute spinal cord injury: Estimates of functional recovery in National Acute Spinal Cord Injury Study II from results modeled in National Acute Spinal Cord Injury Study III",2002,"Journal of Neurosurgery",NA,"2021-01-16 13:10:56","Article","10.3171/spi.2002.96.3.0259","0022-3085",96,NA,"corticosteroids","scopus"
"1041","J. Friedman","Biodegradable polymer grafts for surgical repair of the injured spinal cord",2002,"Neurosurgery",NA,"2021-01-16 13:10:56","Article","10.1097/00006123-200209000-00024","0148-396X",51,NA,"corticosteroids","scopus"
"1042","A. Rabchevsky","Efficacy of methylprednisolone therapy for the injured rat spinal cord",2002,"Journal of Neuroscience Research",NA,"2021-01-16 13:10:56","Article","10.1002/jnr.10187","0360-4012",68,NA,"corticosteroids","scopus"
"1043","C. Bono","Gunshot wounds to the spine",2004,"Spine Journal",NA,"2021-01-16 13:10:56","Review","10.1016/S1529-9430(03)00178-5","1529-9430",4,NA,"corticosteroids","scopus"
"1044","R.G. Grossman","A prospective, multicenter, Phase i matched-comparison group trial of safety, pharmacokinetics, and preliminary efficacy of riluzole in patients with traumatic spinal cord injury",2014,"Journal of Neurotrauma",NA,"2021-01-16 13:10:56","Article","10.1089/neu.2013.2969","0897-7151",31,NA,"corticosteroids","scopus"
"1045","R. Dumont","Acute spinal cord injury, part II: Contemporary pharmacotherapy",2001,"Clinical Neuropharmacology",NA,"2021-01-16 13:10:56","Article","10.1097/00002826-200109000-00003","0362-5664",24,NA,"corticosteroids","scopus"
"1046","T. Qian","High-dose methylprednisolone may cause myopathy in acute spinal cord injury patients",2005,"Spinal Cord",NA,"2021-01-16 13:10:56","Article","10.1038/sj.sc.3101681","1362-4393",43,NA,"corticosteroids","scopus"
"1047","B. Kakulas","Neuropathology: The foundation for new treatments in spinal cord injury",2004,"Spinal Cord",NA,"2021-01-16 13:10:56","Conference Paper","10.1038/sj.sc.3101670","1362-4393",42,NA,"corticosteroids","scopus"
"1048","D. Stein","Does Progesterone Have Neuroprotective Properties?",2008,"Annals of Emergency Medicine",NA,"2021-01-16 13:10:56","Review","10.1016/j.annemergmed.2007.05.001","0196-0644",51,NA,"corticosteroids","scopus"
"1049","A. Baumann","Neurogenic pulmonary edema",2007,"Acta Anaesthesiologica Scandinavica",NA,"2021-01-16 13:10:56","Review","10.1111/j.1399-6576.2007.01276.x","0001-5172",51,NA,"corticosteroids","scopus"
"1050","W. Young","Effect of high-dose corticosteroid therapy on blood flow, evoked potentials, and extracellular calcium in experimental spinal injury",1982,"Journal of Neurosurgery",NA,"2021-01-16 13:10:56","Article","10.3171/jns.1982.57.5.0667","0022-3085",57,NA,"corticosteroids","scopus"
"1051","S. Constantini","The effects of methylprednisolone and the ganglioside GM1 on acute spinal cord injury in rats",1994,"Journal of Neurosurgery",NA,"2021-01-16 13:10:56","Article","10.3171/jns.1994.80.1.0097","0022-3085",80,NA,"corticosteroids","scopus"
"1052","N. Lemos","Laparoscopic implantation of neuromodulators for treating urinary dysfunctions and improving locomotion in multiple sclerosis patients",2015,"International Urogynecology Journal",NA,"2021-01-16 13:11:58","Article","10.1007/s00192-015-2702-0","0937-3462",26,NA,"cortisone","scopus"
"1053","R. Philippi","Survey of the neurological evolution of 300 spinal cord injuries seen within 24 hours after injury",1980,"Paraplegia",NA,"2021-01-16 13:11:58","Article","10.1038/sc.1980.61","0031-1758",18,NA,"cortisone","scopus"
"1054","E.R. Theriault","Antispasmodic medications may be associated with reduced recovery during inpatient rehabilitation after traumatic spinal cord injury",2018,"Journal of Spinal Cord Medicine",NA,"2021-01-16 13:13:23","Article","10.1080/10790268.2016.1245010","1079-0268",41,NA,"cyclobenzaprine","scopus"
"1055","Y. Taniguchi","Thoracic intradural extramedullary lesions causing progressive myelopathy as an initial manifestation of granulomatosis with polyangiitis: a case report and review of literature",2017,"Journal of Spinal Cord Medicine",NA,"2021-01-16 13:13:40","Article","10.1080/10790268.2016.1173319","1079-0268",40,NA,"cyclophosphamide","scopus"
"1056","B. Wimer","Curative Potential of Foremost Mitogen Applications",2003,"Cancer Biotherapy and Radiopharmaceuticals",NA,"2021-01-16 13:13:40","Review","10.1089/108497803322702879","1084-9785",18,NA,"cyclophosphamide","scopus"
"1057","M. Yaguchi","Gliomatosis cerebri involving the lumbosacral spinal cord",2003,"Internal Medicine",NA,"2021-01-16 13:13:40","Article","10.2169/internalmedicine.42.615","0918-2918",42,NA,"cyclophosphamide","scopus"
"1058","R. Sofferman","The recovery potential of the optic nerve",1995,"Laryngoscope",NA,"2021-01-16 13:13:40","Article","","0023-852X",105,NA,"cyclophosphamide","scopus"
"1059","E.R. Feringa","Recovery in rats after spinal cord injury",1976,"Neurology",NA,"2021-01-16 13:13:40","Article","10.1212/wnl.26.9.839","0028-3878",26,NA,"cyclophosphamide","scopus"
"1060","Y. Ryu","Effects of Treadmill Training Combined with Serotonergic Interventions on Spasticity after Contusive Spinal Cord Injury",2018,"Journal of Neurotrauma",NA,"2021-01-16 13:14:00","Article","10.1089/neu.2017.5400","0897-7151",35,NA,"cyproheptadine","scopus"
"1061","S. Rossignol","Locomotion and its Recovery after Spinal Injury in Animal Models",2002,"Neurorehabilitation and Neural Repair",NA,"2021-01-16 13:14:00","Article","10.1177/0888439002016002002","1545-9683",16,NA,"cyproheptadine","scopus"
"1062","K. Leech","Effects of Serotonergic Medications on Locomotor Performance in Humans with Incomplete Spinal Cord Injury",2014,"Journal of Neurotrauma",NA,"2021-01-16 13:14:00","Article","10.1089/neu.2013.3206","0897-7151",31,NA,"cyproheptadine","scopus"
"1063","C. Thomas","Human spinal cord injury: Motor unit properties and behaviour",2014,"Acta Physiologica",NA,"2021-01-16 13:14:00","Review","10.1111/apha.12153","1748-1708",210,NA,"cyproheptadine","scopus"
"1064","S. Salzman","The serotonin antagonist mianserin improves functional recovery following experimental spinal trauma",1991,"Annals of Neurology",NA,"2021-01-16 13:14:00","Article","10.1002/ana.410300405","0364-5134",30,NA,"cyproheptadine","scopus"
"1065","H. Barbeau","Walking after spinal cord injury: Control and recovery",1998,"Neuroscientist",NA,"2021-01-16 13:14:00","Review","10.1177/107385849800400109","1073-8584",4,NA,"cyproheptadine","scopus"
"1066","J. Ditunno","Predicting recovery after spinal cord injury: A rehabilitation imperative",1999,"Archives of Physical Medicine and Rehabilitation",NA,"2021-01-16 13:14:00","Conference Paper","10.1016/S0003-9993(99)90270-8","0003-9993",80,NA,"cyproheptadine","scopus"
"1067","J. D'Amico","Constitutively active 5-HT<inf>2</inf>/α<inf>1</inf> receptors facilitate muscle spasms after human spinal cord injury",2013,"Journal of Neurophysiology",NA,"2021-01-16 13:14:00","Article","10.1152/jn.00821.2012","0022-3077",109,NA,"cyproheptadine","scopus"
"1068","A. Domingo","A systematic review of the effects of pharmacological agents on walking function in people with spinal cord injury",2012,"Journal of Neurotrauma",NA,"2021-01-16 13:14:00","Review","10.1089/neu.2011.2052","0897-7151",29,NA,"cyproheptadine","scopus"
"1069","M.D. Ziegler","Further evidence of olfactory ensheathing glia facilitating axonal regeneration after a complete spinal cord transection",2011,"Experimental Neurology",NA,"2021-01-16 13:14:00","Article","10.1016/j.expneurol.2011.01.007","0014-4886",229,NA,"cyproheptadine","scopus"
"1070","H. Majczyński","Serotonin-related enhancement of recovery of hind limb motor functions in spinal rats after grafting of embryonic raphe nuclei",2005,"Journal of Neurotrauma",NA,"2021-01-16 13:14:00","Article","10.1089/neu.2005.22.590","0897-7151",22,NA,"cyproheptadine","scopus"
"1071","J. D'Amico","Recovery of neuronal and network excitability after spinal cord injury and implications for spasticity",2014,"Frontiers in Integrative Neuroscience",NA,"2021-01-16 13:14:00","Review","10.3389/fnint.2014.00036","1662-5145",8,NA,"cyproheptadine","scopus"
"1072","K. Murray","Motoneuron excitability and muscle spasms are regulated by 5-HT2B and 5-HT2C receptor activity",2011,"Journal of Neurophysiology",NA,"2021-01-16 13:14:00","Article","10.1152/jn.00774.2010","0022-3077",105,NA,"cyproheptadine","scopus"
"1073","H. Barbeau","The role of rehabilitation in the recovery of walking in the neurological population",2001,"Current Opinion in Neurology",NA,"2021-01-16 13:14:00","Review","10.1097/00019052-200112000-00009","1350-7540",14,NA,"cyproheptadine","scopus"
"1074","J. Fung","The combined effects of clonidine and cyproheptadine with interactive training on the modulation of locomotion in spinal cord injured subjects",1990,"Journal of the Neurological Sciences",NA,"2021-01-16 13:14:00","Article","10.1016/0022-510X(90)90017-H","0022-510X",100,NA,"cyproheptadine","scopus"
"1075","H. Barbeau","Enhancement of locomotor recovery followlng spinal cord injury",1994,"Current Opinion in Neurology",NA,"2021-01-16 13:14:00","Review","10.1097/00019052-199412000-00008","1350-7540",7,NA,"cyproheptadine","scopus"
"1076","H. Barbeau","Walking after spinal cord injury: Evaluation, treatment, and functional recovery",1999,"Archives of Physical Medicine and Rehabilitation",NA,"2021-01-16 13:14:00","Review","10.1016/S0003-9993(99)90126-0","0003-9993",80,NA,"cyproheptadine","scopus"
"1077","K.C. Murray","Recovery of motoneuron and locomotor function after spinal cord injury depends on constitutive activity in 5-HT<inf>2C</inf> receptors",2010,"Nature Medicine",NA,"2021-01-16 13:14:00","Article","10.1038/nm.2160","1078-8956",16,NA,"cyproheptadine","scopus"
"1078","C. Parramon Teixido","Altered mental status associated with Ertapenem",2017,"European Journal of Clinical Pharmacy",NA,"2021-01-16 13:15:22","Article",NA,"2385-409X",19,NA,"dalteparin","scopus"
"1079","E. Leung","Superimposed Guillain-Barré Syndrome (GBS) in pediatric hypoxic brain injury",2020,"Journal of Pediatric Rehabilitation Medicine",NA,"2021-01-16 13:15:41","Article","10.3233/PRM-180562","1874-5393",13,NA,"dantrolene","scopus"
"1080","J. Jeon","The effect of long-term oral dantrolene on the neuromuscular action of rocuronium",2014,"Korean Journal of Anesthesiology",NA,"2021-01-16 13:15:41","Article","10.4097/kjae.2014.66.2.153","2005-6419",66,NA,"dantrolene","scopus"
"1081","B. Torres","Dantrolene and mesenchymal stem cells promote functional improvement in Wistar rats with spinal cord injury",2018,"Pesquisa Veterinaria Brasileira",NA,"2021-01-16 13:15:41","Article","10.1590/1678-5150-PVB-5165","0100-736X",38,NA,"dantrolene","scopus"
"1082","D. Plantier","Spasticity: Clinical, physiological and therapeutic approaches. A review (First part)",1995,"Lyon Pharmaceutique",NA,"2021-01-16 13:15:41","Article","10.1016/0024-7804(96)85741-1","0024-7804",46,NA,"dantrolene","scopus"
"1083","M. Javed","Oral dantrolene and severe respiratory failure in a patient with chronic spinal cord injury",2010,"Anaesthesia",NA,"2021-01-16 13:15:41","Article","10.1111/j.1365-2044.2010.06409.x","0003-2409",65,NA,"dantrolene","scopus"
"1084","B. Martins","Association of riluzole and dantrolene improves significant recovery after acute spinal cord injury in rats",2018,"Spine Journal",NA,"2021-01-16 13:15:41","Article","10.1016/j.spinee.2017.10.067","1529-9430",18,NA,"dantrolene","scopus"
"1085","I. Rosado","Effects of methylprednisolone, dantrolene, and their combination on experimental spinal cord injury",2014,"International Journal of Clinical and Experimental Pathology",NA,"2021-01-16 13:15:41","Article","","1936-2625",7,NA,"dantrolene","scopus"
"1086","I. Perkash","Management of neurogenic bladder dysfunctions following acute traumatic cervical central cord syndrome (incomplete tetraplegia)",1977,"Paraplegia",NA,"2021-01-16 13:15:41","Article","10.1038/sc.1977.5","0031-1758",15,NA,"dantrolene","scopus"
"1087","B. Torres","Effects of dantrolene on apoptosis and immunohistochemical expression of NeuN in the spinal cord after traumatic injury in rats",2010,"International Journal of Experimental Pathology",NA,"2021-01-16 13:15:41","Article","10.1111/j.1365-2613.2010.00738.x","0959-9673",91,NA,"dantrolene","scopus"
"1088","W. Thorell","Role of RyRs and IP3 receptors after traumatic injury to spinal cord white matter",2002,"Journal of Neurotrauma",NA,"2021-01-16 13:15:41","Article","10.1089/089771502753594909","0897-7151",19,NA,"dantrolene","scopus"
"1089","P.M. Murphy","Intrathecal catheter granuloma associated with isolated baclofen infusion",2006,"Anesthesia and Analgesia",NA,"2021-01-16 13:15:41","Article","10.1213/01.ane.0000196523.06573.10","0003-2999",102,NA,"dantrolene","scopus"
"1090","J. D'Amico","Recovery of neuronal and network excitability after spinal cord injury and implications for spasticity",2014,"Frontiers in Integrative Neuroscience",NA,"2021-01-16 13:15:41","Review","10.3389/fnint.2014.00036","1662-5145",8,NA,"dantrolene","scopus"
"1091","C. O'Brien","Treatment of spasticity with botulinum toxin",2002,"Clinical Journal of Pain",NA,"2021-01-16 13:15:41","Review","10.1097/00002508-200211001-00011","0749-8047",18,NA,"dantrolene","scopus"
"1092","D. Becker","Restoring function after spinal cord injury",2003,"Neurologist",NA,"2021-01-16 13:15:41","Review","10.1097/01.nrl.0000038587.58012.05","1074-7931",9,NA,"dantrolene","scopus"
"1093","H. Barbeau","Walking after spinal cord injury: Evaluation, treatment, and functional recovery",1999,"Archives of Physical Medicine and Rehabilitation",NA,"2021-01-16 13:15:41","Review","10.1016/S0003-9993(99)90126-0","0003-9993",80,NA,"dantrolene","scopus"
"1094","A. Ward","Dantrolene: A Review of Its Pharmacodynamic and Pharmacokinetic Properties and Therapeutic Use in Malignant Hyperthermia, the Neuroleptic Malignant Syndrome and an Update of Its Use in Muscle Spasticity",1986,"Drugs",NA,"2021-01-16 13:15:41","Article","10.2165/00003495-198632020-00003","0012-6667",32,NA,"dantrolene","scopus"
"1095","A. Díaz-Ruiz","Phenobarbital administered alone or in combination with dapsone inhibits apoptosis and improves motor function after spinal cord injury in rats",2015,"Archivos de Neurociencias",NA,"2021-01-16 13:16:00","Article","","1028-5938",20,NA,"dapsone","scopus"
"1096","C. Ríos","Anti-Apoptotic Effects of Dapsone After Spinal Cord Injury in Rats",2015,"Neurochemical Research",NA,"2021-01-16 13:16:00","Article","10.1007/s11064-015-1588-z","0364-3190",40,NA,"dapsone","scopus"
"1097","A. Diaz-Ruiz","Delayed administration of dapsone protects from tissue damage and improves recovery after spinal cord injury",2011,"Journal of Neuroscience Research",NA,"2021-01-16 13:16:00","Article","10.1002/jnr.22555","0360-4012",89,NA,"dapsone","scopus"
"1098","C. Parramon Teixido","Altered mental status associated with Ertapenem",2017,"European Journal of Clinical Pharmacy",NA,"2021-01-16 13:16:20","Article",NA,"2385-409X",19,NA,"daptomycin","scopus"
"1099","A. Nekoui","Neuroprotective effect of erythropoietin in postoperation cervical spinal cord injury: Case report and review",2015,"Anesthesiology and Pain Medicine",NA,"2021-01-16 13:16:38","Article","10.5812/aapm.28849","2228-7523",5,NA,"darbepoetin","scopus"
"1100","C. Mann","Delayed treatment of spinal cord injury with erythropoietin or darbepoetin-A lack of neuroprotective efficacy in a contusion model of cord injury",2008,"Experimental Neurology",NA,"2021-01-16 13:16:38","Article","10.1016/j.expneurol.2007.12.013","0014-4886",211,NA,"darbepoetin","scopus"
"1101","A. Rabchevsky","Pharmacological interventions for spinal cord injury: Where do we stand? How might we step forward?",2011,"Pharmacology and Therapeutics",NA,"2021-01-16 13:16:58","Review","10.1016/j.pharmthera.2011.05.001","0163-7258",132,NA,"darifenacin","scopus"
"1102","A.S. Kozyrev","Comparative evaluation of desflurane and sevoflurane anesthesia during surgical correction of vertebral and spinal cord injury in children",2018,"Pediatric Traumatology, Orthopaedics and Reconstructive Surgery",NA,"2021-01-16 13:17:50","Article","10.17816/PTORS6347-55","2309-3994",6,NA,"desflurane","scopus"
"1103","H. Beloeil","Bilateral lower limb hypoesthesia after radical prostactectomy in the hyperlordotic position under general anesthesia",2003,"Canadian Journal of Anesthesia",NA,"2021-01-16 13:17:50","Article","10.1007/BF03018706","0832-610X",50,NA,"desflurane","scopus"
"1104","S. Fukuda","Cerebral protection",2007,"British Journal of Anaesthesia",NA,"2021-01-16 13:17:50","Review","10.1093/bja/aem140","0007-0912",99,NA,"desflurane","scopus"
"1105","E. Holsboer-Trachsler","Therapy of depression in neurorehabilitation and neurobiological mechanisms of action",2003,"Schweizer Archiv fur Neurologie und Psychiatrie",NA,"2021-01-16 13:18:17","Review","10.4414/sanp.2003.01431","0258-7661",154,NA,"desipramine","scopus"
"1106","E. Norwitz","Obstetric issues in women with neurologic diseases",1997,"Current Problems in Obstetrics, Gynecology and Fertility",NA,"2021-01-16 13:18:17","Review","","8756-0410",20,NA,"desipramine","scopus"
"1107","J. Kim","Nogo-66 receptor prevents raphespinal and rubrospinal axon regeneration and limits functional recovery from spinal cord injury",2004,"Neuron",NA,"2021-01-16 13:18:17","Article","10.1016/j.neuron.2004.10.015","0896-6273",44,NA,"desipramine","scopus"
"1108","M. Çaliş","Clinical evaluation and treatment of neurogenic bladder",2004,"Journal of Rheumatology and Medical Rehabilitation",NA,"2021-01-16 13:18:38","Article",NA,"1300-0691",15,NA,"desmopressin","scopus"
"1109","A. Anjum","Spinal cord injury: Pathophysiology, multimolecular interactions, and underlying recovery mechanisms",2020,"International Journal of Molecular Sciences",NA,"2021-01-16 13:24:13","Review","10.3390/ijms21207533","1661-6596",21,NA,"dexamethasone","scopus"
"1110","Q.X. Li","Effects of dexamethasone combined with estrogen on the expression of interleukin-6, Caspase3 and Bcl-2 after spinal cord contusion in rats",2020,"Chinese Journal of Tissue Engineering Research",NA,"2021-01-16 13:24:13","Article","10.3969/j.issn.2095-4344.2591","2095-4344",24,NA,"dexamethasone","scopus"
"1111","R. Fanarjyan","Stage management of severe craniocerebral and cervical spine injuries",2013,"New Armenian Medical Journal",NA,"2021-01-16 13:24:13","Article","","1820-0254",7,NA,"dexamethasone","scopus"
"1112","Y. Smorgick","An unusual combination of a lumbar seat belt injury and hemorrhagic contusion of the lower thoracic cord in a 2-year-old child: A case report",2010,"Journal of Pediatric Orthopaedics Part B",NA,"2021-01-16 13:24:13","Article","10.1097/BPB.0b013e32832f06a6","1060-152X",19,NA,"dexamethasone","scopus"
"1113","S. Liu","Damage control of multiple injuries headed by cervical spinal cord injury",2008,"Chinese Journal of Traumatology - English Edition",NA,"2021-01-16 13:24:13","Article","10.1016/S1008-1275(08)60010-3","1008-1275",11,NA,"dexamethasone","scopus"
"1114","C. Liu","Human embryonic olfactory ensheathing cell transplantation for treating the sequel of myelitis: A self-control study of 32 cases using American Spinal Injury Association Scoring Standard",2007,"Journal of Clinical Rehabilitative Tissue Engineering Research",NA,"2021-01-16 13:24:13","Article","","1673-8225",11,NA,"dexamethasone","scopus"
"1115","S. Liu","Application of injury severity score to multiple injuries headed by spinal cord injury",2007,"Chinese Journal of Traumatology - English Edition",NA,"2021-01-16 13:24:13","Review","","1008-1275",10,NA,"dexamethasone","scopus"
"1116","J. Vaquero","Early administration of dexamethasone after spinal cord injury: Effects on the functional recovery and local expression of vascular permeability factors",2004,"Mapfre Medicina",NA,"2021-01-16 13:24:13","Article","","1130-5665",15,NA,"dexamethasone","scopus"
"1117","P. Cooper","Dexamethasone and severe head injury: A prospective double-blind study",1980,"Orthopaedic Survey",NA,"2021-01-16 13:24:13","Article","","0147-6793",3,NA,"dexamethasone","scopus"
"1118","J.M. Chung","Relationship between clinical &amp; radiologic findings of spinal cord injury in decompression sickness",2017,"Undersea and Hyperbaric Medicine",NA,"2021-01-16 13:24:13","Article","10.22462/1.2.2017.9","1066-2936",44,NA,"dexamethasone","scopus"
"1119","V. Albernaz","Traumatic spinal cord injury with schiff-sherrington posture and spontaneous resolution in a dog: MRI evaluation",2016,"Acta Veterinaria Brasilica",NA,"2021-01-16 13:24:13","Article","10.21708/avb.2016.10.2.5736","1981-5484",10,NA,"dexamethasone","scopus"
"1120","Y. Iwasaki","Effects of Pial Incision and Steroid Administration on Experimental Spinal Cord Injury",1980,"Neurologia medico-chirurgica",NA,"2021-01-16 13:24:13","Article","10.2176/nmc.20.965","0470-8105",20,NA,"dexamethasone","scopus"
"1121","T. Yang","Delayed neurological deterioration with an unknown cause subsequent to surgery for intraspinal meningiomas",2015,"Oncology Letters",NA,"2021-01-16 13:24:13","Article","10.3892/ol.2015.3024","1792-1074",9,NA,"dexamethasone","scopus"
"1122","Y. Ma","An experiment on the effect of Chinese herb Jisuikang against spinal injury",2005,"Chinese Journal of Clinical Rehabilitation",NA,"2021-01-16 13:24:13","Article","","1671-5926",9,NA,"dexamethasone","scopus"
"1123","R. Malhotra","A silent acute abdomen in a patient with spinal cord injury",2013,"BMJ Case Reports",NA,"2021-01-16 13:24:13","Article","10.1136/bcr-2013-008548","1757-790X",NA,NA,"dexamethasone","scopus"
"1124","P. Dorsher","Treatment of urinary incontinence due to incomplete spinal cord injury with acupuncture and percutaneous electrical nerve stimulation: Two cases and literature review",2009,"Medical Acupuncture",NA,"2021-01-16 13:24:13","Article","10.1089/acu.2009.0630","1933-6586",21,NA,"dexamethasone","scopus"
"1125","A. Levi","Advances in the management of spinal cord injury: Has the laboratory increased our understanding?",1998,"Neurosurgery Quarterly",NA,"2021-01-16 13:24:13","Review","10.1097/00013414-199809000-00008","1050-6438",8,NA,"dexamethasone","scopus"
"1126","L. Cherian","Changes in phospholipids and acetylcholinesterase during early phase of injury to spinal cord - An experimental study in rats",1996,"Indian Journal of Physiology and Pharmacology",NA,"2021-01-16 13:24:13","Article","","0019-5499",40,NA,"dexamethasone","scopus"
"1127","A. Castel","Risk factors associated with progressive myelomalacia in dogs with complete sensorimotor loss following intervertebral disc extrusion: A retrospective case-control study",2019,"BMC Veterinary Research",NA,"2021-01-16 13:24:13","Review","10.1186/s12917-019-2186-0","1746-6148",15,NA,"dexamethasone","scopus"
"1128","Z. Han","Safety and efficacy of corticosteroid Use in neurologic trauma",2014,"Journal of Pharmacy Practice",NA,"2021-01-16 13:24:13","Review","10.1177/0897190013516500","0897-1900",27,NA,"dexamethasone","scopus"
"1129","J. Vaquero","Tissue expression of 165-aa vascular permeability factor after spinal cord injury is not influenced by dexamethasone administration in rats",2004,"Neuroscience Letters",NA,"2021-01-16 13:24:13","Article","10.1016/j.neulet.2004.04.082","0304-3940",365,NA,"dexamethasone","scopus"
"1130","T. Lesar","Standardized dosing tables to reduce errors involving high-dose methylprednisolone for acute spinal cord injury",1994,"Hospital Pharmacy",NA,"2021-01-16 13:24:13","Review","","0018-5787",29,NA,"dexamethasone","scopus"
"1131","A. Sharma","Comparison of methylprednisolone with dexamethasone in treatment of acute spinal injury in rats",2004,"Indian Journal of Experimental Biology",NA,"2021-01-16 13:24:13","Article","","0019-5189",42,NA,"dexamethasone","scopus"
"1132","K. Bloom","Paraplegia from schistosomiasis",1990,"Paraplegia",NA,"2021-01-16 13:24:13","Article","10.1038/sc.1990.61","0031-1758",28,NA,"dexamethasone","scopus"
"1133","A. Gerber","Effect of phenytoin on functional recovery after experimental spinal cord injury in dogs",1980,"Neurosurgery",NA,"2021-01-16 13:24:13","Article","10.1227/00006123-198011000-00009","0148-396X",7,NA,"dexamethasone","scopus"
"1134","Z. Wang","Effects of dexamethasone on autophagy and apoptosis in acute spinal cord injury",2018,"NeuroReport",NA,"2021-01-16 13:24:13","Article","10.1097/WNR.0000000000001076","0959-4965",29,NA,"dexamethasone","scopus"
"1135","T. Miyabe-Nishiwaki","Tetraparesis resembling acute transverse myelitis in a captive chimpanzee (Pan troglodytes): Long-term care and recovery",2010,"Journal of Medical Primatology",NA,"2021-01-16 13:24:13","Article","10.1111/j.1600-0684.2010.00415.x","0047-2565",39,NA,"dexamethasone","scopus"
"1136","G. Jacquemin","Functional recovery from paraplegia caused by syphilitic meningomyelitis",2002,"Journal of Spinal Cord Medicine",NA,"2021-01-16 13:24:13","Article","10.1080/10790268.2002.11753614","1079-0268",25,NA,"dexamethasone","scopus"
"1137","J. Choi","Does intramedullary signal intensity on MRI affect the surgical outcomes of patients with ossification of posterior longitudinal ligament?",2014,"Journal of Korean Neurosurgical Society",NA,"2021-01-16 13:24:13","Article","10.3340/jkns.2014.56.2.121","2005-3711",56,NA,"dexamethasone","scopus"
"1138","W. Xu","Combination of dexamethasone and aminoguanidine reduces secondary damage in compression spinal cord injury",2009,"Cellular and Molecular Neurobiology",NA,"2021-01-16 13:24:13","Article","10.1007/s10571-009-9380-8","0272-4340",29,NA,"dexamethasone","scopus"
"1139","A.J. Parker","Functional recovery from spinal cord trauma following dexamethazone and chlorpromazine therapy in dogs",1976,"Research in Veterinary Science",NA,"2021-01-16 13:24:13","Article","10.1016/s0034-5288(18)33383-6","0034-5288",21,NA,"dexamethasone","scopus"
"1140","S. Tandon","Complete reorganization of the motor cortex of adult rats following long-term spinal cord injuries",2013,"European Journal of Neuroscience",NA,"2021-01-16 13:24:13","Article","10.1111/ejn.12218","0953-816X",38,NA,"dexamethasone","scopus"
"1141","J. Gainer","Use of crocetin in experimental spinal cord injury",1977,"Journal of Neurosurgery",NA,"2021-01-16 13:24:13","Article","10.3171/jns.1977.46.3.0358","0022-3085",46,NA,"dexamethasone","scopus"
"1142","J. Sheehan","Potentiation of neurite outgrowth and reduction of apoptosis by immunosuppressive agents: implications for neuronal injury and transplantation.",2006,"Neurosurgical focus",NA,"2021-01-16 13:24:13","Article","10.3171/foc.2006.20.5.10","1092-0684",20,NA,"dexamethasone","scopus"
"1143","R. Sofferman","The recovery potential of the optic nerve",1995,"Laryngoscope",NA,"2021-01-16 13:24:13","Article","","0023-852X",105,NA,"dexamethasone","scopus"
"1144","G. Regina","Dexamethasone minimizes the risk of cranial nerve injury during CEA",2009,"Journal of Vascular Surgery",NA,"2021-01-16 13:24:13","Article","10.1016/j.jvs.2008.08.049","0741-5214",49,NA,"dexamethasone","scopus"
"1145","S. González","Glucocorticoid effects on Fos immunoreactivity and NADPH-diaphorase histochemical staining following spinal cord injury",2001,"Brain Research",NA,"2021-01-16 13:24:13","Article","10.1016/S0006-8993(01)02717-2","0006-8993",912,NA,"dexamethasone","scopus"
"1146","E. Kuchner","Effects of dexamethasone and of local hypothermia on early and late tissue electrolyte changes in experimental spinal cord injury",2000,"Journal of Spinal Disorders",NA,"2021-01-16 13:24:13","Article","10.1097/00002517-200010000-00004","0895-0385",13,NA,"dexamethasone","scopus"
"1147","C.S. Oza","Trunk robot rehabilitation training with active stepping reorganizes and enriches trunk motor cortex representations in spinal transected rats",2015,"Journal of Neuroscience",NA,"2021-01-16 13:24:13","Article","10.1523/JNEUROSCI.4366-14.2015","0270-6474",35,NA,"dexamethasone","scopus"
"1148","M. Ozdemir","Regenerative treatment in spinal cord injury",2012,"Current Stem Cell Research and Therapy",NA,"2021-01-16 13:24:13","Article","10.2174/157488812802481481","1574-888X",7,NA,"dexamethasone","scopus"
"1149","S. Karadimas","The role of oligodendrocytes in the molecular pathobiology and potential molecular treatment of cervical spondylotic myelopathy",2010,"Current Medicinal Chemistry",NA,"2021-01-16 13:24:13","Review","10.2174/092986710790820598","0929-8673",17,NA,"dexamethasone","scopus"
"1150","S. Grasmueck","Survival rates and outcomes in cats with thoracic and lumbar spinal cord injuries due to external trauma",2004,"Journal of Small Animal Practice",NA,"2021-01-16 13:24:13","Article","10.1111/j.1748-5827.2004.tb00236.x","0022-4510",45,NA,"dexamethasone","scopus"
"1151","M. Fehlings","Efficacy and Safety of Methylprednisolone Sodium Succinate in Acute Spinal Cord Injury: A Systematic Review",2017,"Global Spine Journal",NA,"2021-01-16 13:24:13","Review","10.1177/2192568217706366","2192-5682",7,NA,"dexamethasone","scopus"
